code,name
BIOCHEM196,"Independent Study"
BIOCHEM285,"Cellular & Molecular Biology"
BIOCHEM296,"Independent Study"
BIOCHEM311,"Molecular Genetics and Genomics"
BIOCHEM320,"Elementary Biochemistry"
BIOCHEM321,"Elementary Biochemistry Laboratory"
BIOCHEM376,"Introductory Biochemistry Lab"
BIOCHEM394RI,"Integrative Experience"
BIOCHEM396,"Independent Study"
BIOCHEM398A,"Practicum"
BIOCHEM423,"General Biochemistry I"
BIOCHEM523,"General Biochemistry I"
BIOCHEM424,"General Biochemistry II"
BIOCHEM426,"Biochemistry Laboratory"
BIOCHEM430H,"Senior Honors Seminar"
BIOCHEM471,"Elementary Physical Chemistry"
BIOCHEM496,"Independent Study"
BIOCHEM498A,"Practicum"
BIOCHEM498Y,"Practicum"
BIOCHEM499T,"Honors Thesis"
BIOCHEM499P,"Honors Research"
BIOCHEM623,"Advanced General Biochemistry"
BIOCHEM642,"Advanced Molecular Biology"
BIOCHEM657,"Drug Design"
BIOCHEM681-"688,Biochemistry Journal Clubs"
CICS108,"Foundations of Data Science"
CICS109,"Introduction to Data Analysis in R"
CICS110,"Foundations of Programming"
CICS127,"Introduction to Public Interest Technology"
CICS160,"Object-Oriented Programming"
CICS208,"Defending Democracy in a Digital World"
CICS210,"Data Structures"
CICS256,"Make: A Hands-on Introduction to Physical Computing"
CICS305,"Social Issues in Computing"
COMPSCI119,"Introduction to Programming"
COMPSCI198C,"Introduction to the C Programming Language"
COMPSCI220,"Programming Methodology"
COMPSCI230,"Computer Systems Principles"
COMPSCI240,"Reasoning Under Uncertainty"
COMPSCI250,"Introduction to Computation"
COMPSCI311,"Introduction to Algorithms"
COMPSCI320,"Introduction to Software Engineering"
COMPSCI325,"Introduction to Human Computer Interaction"
COMPSCI326,"Web Programming"
COMPSCI328,"Mobile Health Sensing and Analytics"
COMPSCI335,"Inside the Box: How Computers Work"
COMPSCI345,"Practice and Applications of Data Management"
COMPSCI348,"Principles of Data Science"
COMPSCI360,"Introduction to Computer and Network Security"
COMPSCI363,"Computer Crime Law and the Technologies of Investigation and Privacy"
COMPSCI365,"Digital Forensics"
COMPSCI370,"Introduction to Computer Vision"
COMPSCI373,"Introduction to Computer Graphics"
COMPSCI377,"Operating Systems"
COMPSCI383,"Artificial Intelligence"
COMPSCI389,"Introduction to Machine Learning"
COMPSCI390R,"Reverse Engineering and Vulnerability Analysis"
COMPSCI403,"Introduction to Robotics: Perception, Mechanics, Dynamics, and Control"
COMPSCI410,"Compiler Techniques"
COMPSCI420,"Software Entrepreneurship"
COMPSCI426,"Scalable Web Systems"
COMPSCI429,"Software Engineering Project Management"
COMPSCI445,"Information Systems"
COMPSCI446,"Search Engines"
COMPSCI453,"Computer Networks"
COMPSCI461,"Secure Distributed Systems"
COMPSCI466,"Applied Cryptography"
COMPSCI485,"Applications of Natural Language Processing"
COMPSCI490Q,"Quantum Information Science"
COMPSCI490U,"Introduction to User Experience Research"
COMPSCI491G,"Computer Networking Lab"
COMPSCI501,"Formal Language Theory"
COMPSCI503,"Embedded Computing Systems"
COMPSCI508,"Ethical Considerations in Computing"
COMPSCI513,"Logic in Computer Science"
COMPSCI514,"Algorithms for Data Science"
COMPSCI515,"Algorithmic Fairness and Strategic Behavior"
COMPSCI520,"Theory and Practice of Software Engineering"
COMPSCI524,"Health Informatics and Data Science"
COMPSCI528,"Mobile and Ubiquitous Computing"
COMPSCI532,"Systems for Data Science"
COMPSCI535,"Computer Architecture"
COMPSCI546,"Applied Information Retrieval"
COMPSCI550,"Introduction to Simulation"
COMPSCI560,"Introduction to Computer and Network Security"
COMPSCI561,"System Defense and Test"
COMPSCI563,"Internet Law and Policy"
COMPSCI564,"Cyber Effects"
COMPSCI565,"Advanced Digital Forensics"
COMPSCI571,"Data Visualization and Exploration"
COMPSCI574,"Intelligent Visual Computing"
COMPSCI575,"Combinatorics and Graph Theory"
COMPSCI576,"Game Programming"
COMPSCI578,"Distributed Computing Systems"
COMPSCI589,"Machine Learning"
COMPSCI590AB,"Quantum Cryptography"
COMPSCI590ED,"Educational Data Mining and Learner Analytics"
COMPSCI590OP,"Applied Numerical Optimization"
COMPSCI590Q,"Quantum Information Systems"
COMPSCI591CF,"Cybersecurity Lecture Series"
COMPSCI591NR,"Neural Networks: from Neuroscience to the Forefront of AI"
PHIL100,"Introduction to Philosophy"
PHIL105,"Practical Reasoning"
PHIL110,"Introduction to Logic"
PHIL160,"Introduction to Ethics"
PHIL163,"Business Ethics"
PHIL164,"Medical Ethics"
PHIL166,"Environmental Ethics"
PHIL170,"Problems in Social Thought"
PHIL175,"Philosophy of Technology"
PHIL180,"Death and the Meaning of Life"
PHIL310,"Intermediate Logic"
PHIL320,"History of Ancient Philosophy"
PHIL321,"History of Modern Philosophy"
PHIL328,"Plato and Aristotle"
PHIL331,"British Empiricism"
PHIL335,"20th Century Analytic Philosophy"
PHIL336,"Existential Philosophy"
PHIL341,"Introduction to Metaphysics"
PHIL342,"Introduction to Epistemology"
PHIL343,"Introduction to Philosophy of Art"
PHIL346,"Introduction to Philosophy of Language"
PHIL353,"Introduction to Philosophy of Science"
PHIL355,"Introduction to Philosophy of Mind"
PHIL360,"Intermediate Ethics"
PHIL370,"Introduction to Social-Political Philosophy"
